id,time_stamp,item_no,reel_number,item_name,gsm,reel_width,issue_weight
1,2020-06-26 00:00:00.0,140TL110,17/124/T1703,140-TEST LINER-TL-110,140,110,35.0
2,2020-06-26 00:00:00.0,136KL115,18/083/K7028,136-KRAFT LINER-KL-115,136,115,1456.0
